simulation_id,team,points
0,Blue Springs,15
0,Blue Springs South,94
0,Carthage,16
0,Central (St. Joseph),0
0,Cor Jesu Academy,25
0,Eureka,105
0,Francis Howell,13
0,Francis Howell Central,2
0,Francis Howell North,0
0,Ft. Zumwalt North,3
0,Hickman,74
0,Jackson,16
0,Kickapoo,0
0,Kirkwood,169
0,Lafayette (Wildwood),69
0,Lee's Summit,29
0,Lee's Summit North,41
0,Lee's Summit West,38
0,Liberty,108
0,Liberty (Wentzville),4
0,Liberty North,118
0,Lindbergh,16
0,MICDS,24
0,Marquette,89
0,Nixa,0
0,North Kansas City,0
0,Oak Park,0
0,Oakville,0
0,Ozark,18
0,Park Hill,15
0,Park Hill South,298
0,Parkway South,157
0,Pattonville,33
0,Pembroke Hill,96
0,Raymore-Peculiar,29
0,Republic,4
0,Rock Bridge,187
0,St. Joseph's Academy,248
0,Staley,77
0,Truman,0
0,Waynesville,0
0,Westminster Christian Academy,95
1,Blue Springs,16
1,Blue Springs South,54
1,Carthage,15
1,Central (St. Joseph),0
1,Cor Jesu Academy,32
1,Eureka,80
1,Francis Howell,6
1,Francis Howell Central,3
1,Francis Howell North,0
1,Ft. Zumwalt North,2
1,Hickman,85
1,Jackson,36
1,Kickapoo,0
1,Kirkwood,168
1,Lafayette (Wildwood),45
1,Lee's Summit,34
1,Lee's Summit North,38
1,Lee's Summit West,46
1,Liberty,95
1,Liberty (Wentzville),0
1,Liberty North,88
1,Lindbergh,31
1,MICDS,12
1,Marquette,117
1,Nixa,0
1,North Kansas City,0
1,Oak Park,0
1,Oakville,0
1,Ozark,16
1,Park Hill,15
1,Park Hill South,301
1,Parkway South,156
1,Pattonville,34
1,Pembroke Hill,113
1,Raymore-Peculiar,12
1,Republic,20
1,Rock Bridge,171
1,St. Joseph's Academy,291
1,Staley,87
1,Truman,3
1,Waynesville,0
1,Westminster Christian Academy,103
2,Blue Springs,13
2,Blue Springs South,70
2,Carthage,15
2,Central (St. Joseph),0
2,Cor Jesu Academy,52
2,Eureka,85
2,Francis Howell,17
2,Francis Howell Central,4
2,Francis Howell North,0
2,Ft. Zumwalt North,10
2,Hickman,80
2,Jackson,28
2,Kickapoo,0
2,Kirkwood,139
2,Lafayette (Wildwood),52
2,Lee's Summit,32
2,Lee's Summit North,29
2,Lee's Summit West,23
2,Liberty,113
2,Liberty (Wentzville),1
2,Liberty North,98
2,Lindbergh,29
2,MICDS,18
2,Marquette,115
2,Nixa,0
2,North Kansas City,0
2,Oak Park,0
2,Oakville,0
2,Ozark,29
2,Park Hill,16
2,Park Hill South,282
2,Parkway South,174
2,Pattonville,37
2,Pembroke Hill,101
2,Raymore-Peculiar,14
2,Republic,0
2,Rock Bridge,193
2,St. Joseph's Academy,288
2,Staley,73
2,Truman,2
2,Waynesville,0
2,Westminster Christian Academy,93
3,Blue Springs,17
3,Blue Springs South,60
3,Carthage,14
3,Central (St. Joseph),0
3,Cor Jesu Academy,32
3,Eureka,74
3,Francis Howell,9
3,Francis Howell Central,0
3,Francis Howell North,0
3,Ft. Zumwalt North,7
3,Hickman,65
3,Jackson,34
3,Kickapoo,0
3,Kirkwood,142
3,Lafayette (Wildwood),74
3,Lee's Summit,27
3,Lee's Summit North,38
3,Lee's Summit West,40
3,Liberty,120
3,Liberty (Wentzville),1
3,Liberty North,83
3,Lindbergh,23
3,MICDS,19
3,Marquette,106
3,Nixa,0
3,North Kansas City,0
3,Oak Park,0
3,Oakville,0
3,Ozark,15
3,Park Hill,15
3,Park Hill South,306
3,Parkway South,181
3,Pattonville,36
3,Pembroke Hill,112
3,Raymore-Peculiar,13
3,Republic,7
3,Rock Bridge,189
3,St. Joseph's Academy,274
3,Staley,96
3,Truman,0
3,Waynesville,0
3,Westminster Christian Academy,96
4,Blue Springs,19
4,Blue Springs South,40
4,Carthage,12
4,Central (St. Joseph),0
4,Cor Jesu Academy,29
4,Eureka,102
4,Francis Howell,9
4,Francis Howell Central,2
4,Francis Howell North,0
4,Ft. Zumwalt North,16
4,Hickman,86
4,Jackson,38
4,Kickapoo,0
4,Kirkwood,155
4,Lafayette (Wildwood),59
4,Lee's Summit,39
4,Lee's Summit North,36
4,Lee's Summit West,45
4,Liberty,124
4,Liberty (Wentzville),3
4,Liberty North,92
4,Lindbergh,16
4,MICDS,19
4,Marquette,110
4,Nixa,0
4,North Kansas City,0
4,Oak Park,0
4,Oakville,0
4,Ozark,6
4,Park Hill,14
4,Park Hill South,292
4,Parkway South,156
4,Pattonville,33
4,Pembroke Hill,102
4,Raymore-Peculiar,28
4,Republic,23
4,Rock Bridge,181
4,St. Joseph's Academy,269
4,Staley,92
4,Truman,4
4,Waynesville,0
4,Westminster Christian Academy,74
5,Blue Springs,8
5,Blue Springs South,46
5,Carthage,10
5,Central (St. Joseph),0
5,Cor Jesu Academy,26
5,Eureka,92
5,Francis Howell,9
5,Francis Howell Central,1
5,Francis Howell North,0
5,Ft. Zumwalt North,11
5,Hickman,87
5,Jackson,37
5,Kickapoo,0
5,Kirkwood,159
5,Lafayette (Wildwood),74
5,Lee's Summit,33
5,Lee's Summit North,54
5,Lee's Summit West,27
5,Liberty,95
5,Liberty (Wentzville),3
5,Liberty North,96
5,Lindbergh,24
5,MICDS,14
5,Marquette,102
5,Nixa,0
5,North Kansas City,0
5,Oak Park,0
5,Oakville,0
5,Ozark,25
5,Park Hill,16
5,Park Hill South,296
5,Parkway South,150
5,Pattonville,27
5,Pembroke Hill,101
5,Raymore-Peculiar,14
5,Republic,32
5,Rock Bridge,187
5,St. Joseph's Academy,287
5,Staley,111
5,Truman,0
5,Waynesville,0
5,Westminster Christian Academy,71
6,Blue Springs,12
6,Blue Springs South,39
6,Carthage,15
6,Central (St. Joseph),0
6,Cor Jesu Academy,39
6,Eureka,70
6,Francis Howell,14
6,Francis Howell Central,12
6,Francis Howell North,0
6,Ft. Zumwalt North,17
6,Hickman,73
6,Jackson,42
6,Kickapoo,0
6,Kirkwood,134
6,Lafayette (Wildwood),110
6,Lee's Summit,46
6,Lee's Summit North,35
6,Lee's Summit West,24
6,Liberty,109
6,Liberty (Wentzville),1
6,Liberty North,97
6,Lindbergh,23
6,MICDS,38
6,Marquette,120
6,Nixa,0
6,North Kansas City,0
6,Oak Park,0
6,Oakville,0
6,Ozark,7
6,Park Hill,16
6,Park Hill South,289
6,Parkway South,167
6,Pattonville,36
6,Pembroke Hill,80
6,Raymore-Peculiar,17
6,Republic,9
6,Rock Bridge,186
6,St. Joseph's Academy,274
6,Staley,62
6,Truman,4
6,Waynesville,0
6,Westminster Christian Academy,108
7,Blue Springs,14
7,Blue Springs South,39
7,Carthage,13
7,Central (St. Joseph),0
7,Cor Jesu Academy,40
7,Eureka,80
7,Francis Howell,2
7,Francis Howell Central,2
7,Francis Howell North,0
7,Ft. Zumwalt North,3
7,Hickman,67
7,Jackson,50
7,Kickapoo,0
7,Kirkwood,157
7,Lafayette (Wildwood),67
7,Lee's Summit,24
7,Lee's Summit North,51
7,Lee's Summit West,22
7,Liberty,118
7,Liberty (Wentzville),9
7,Liberty North,117
7,Lindbergh,18
7,MICDS,21
7,Marquette,107
7,Nixa,0
7,North Kansas City,0
7,Oak Park,0
7,Oakville,0
7,Ozark,26
7,Park Hill,15
7,Park Hill South,285
7,Parkway South,146
7,Pattonville,36
7,Pembroke Hill,115
7,Raymore-Peculiar,15
7,Republic,5
7,Rock Bridge,193
7,St. Joseph's Academy,293
7,Staley,83
7,Truman,3
7,Waynesville,0
7,Westminster Christian Academy,89
8,Blue Springs,7
8,Blue Springs South,46
8,Carthage,14
8,Central (St. Joseph),0
8,Cor Jesu Academy,28
8,Eureka,68
8,Francis Howell,10
8,Francis Howell Central,2
8,Francis Howell North,0
8,Ft. Zumwalt North,3
8,Hickman,85
8,Jackson,26
8,Kickapoo,0
8,Kirkwood,172
8,Lafayette (Wildwood),74
8,Lee's Summit,43
8,Lee's Summit North,45
8,Lee's Summit West,33
8,Liberty,114
8,Liberty (Wentzville),1
8,Liberty North,110
8,Lindbergh,17
8,MICDS,7
8,Marquette,122
8,Nixa,0
8,North Kansas City,0
8,Oak Park,0
8,Oakville,0
8,Ozark,17
8,Park Hill,16
8,Park Hill South,298
8,Parkway South,137
8,Pattonville,34
8,Pembroke Hill,102
8,Raymore-Peculiar,14
8,Republic,8
8,Rock Bridge,189
8,St. Joseph's Academy,308
8,Staley,79
8,Truman,0
8,Waynesville,0
8,Westminster Christian Academy,96
9,Blue Springs,15
9,Blue Springs South,50
9,Carthage,17
9,Central (St. Joseph),0
9,Cor Jesu Academy,46
9,Eureka,79
9,Francis Howell,16
9,Francis Howell Central,0
9,Francis Howell North,0
9,Ft. Zumwalt North,0
9,Hickman,76
9,Jackson,27
9,Kickapoo,0
9,Kirkwood,139
9,Lafayette (Wildwood),54
9,Lee's Summit,33
9,Lee's Summit North,44
9,Lee's Summit West,10
9,Liberty,95
9,Liberty (Wentzville),15
9,Liberty North,79
9,Lindbergh,31
9,MICDS,20
9,Marquette,139
9,Nixa,0
9,North Kansas City,0
9,Oak Park,0
9,Oakville,0
9,Ozark,26
9,Park Hill,16
9,Park Hill South,320
9,Parkway South,157
9,Pattonville,32
9,Pembroke Hill,116
9,Raymore-Peculiar,14
9,Republic,29
9,Rock Bridge,197
9,St. Joseph's Academy,276
9,Staley,73
9,Truman,2
9,Waynesville,0
9,Westminster Christian Academy,82
10,Blue Springs,14
10,Blue Springs South,54
10,Carthage,15
10,Central (St. Joseph),0
10,Cor Jesu Academy,31
10,Eureka,98
10,Francis Howell,17
10,Francis Howell Central,0
10,Francis Howell North,0
10,Ft. Zumwalt North,13
10,Hickman,76
10,Jackson,29
10,Kickapoo,0
10,Kirkwood,137
10,Lafayette (Wildwood),81
10,Lee's Summit,39
10,Lee's Summit North,68
10,Lee's Summit West,28
10,Liberty,89
10,Liberty (Wentzville),1
10,Liberty North,98
10,Lindbergh,17
10,MICDS,21
10,Marquette,81
10,Nixa,0
10,North Kansas City,0
10,Oak Park,0
10,Oakville,0
10,Ozark,13
10,Park Hill,16
10,Park Hill South,267
10,Parkway South,168
10,Pattonville,37
10,Pembroke Hill,95
10,Raymore-Peculiar,14
10,Republic,14
10,Rock Bridge,195
10,St. Joseph's Academy,291
10,Staley,122
10,Truman,0
10,Waynesville,0
10,Westminster Christian Academy,86
11,Blue Springs,4
11,Blue Springs South,66
11,Carthage,16
11,Central (St. Joseph),0
11,Cor Jesu Academy,35
11,Eureka,71
11,Francis Howell,5
11,Francis Howell Central,6
11,Francis Howell North,0
11,Ft. Zumwalt North,9
11,Hickman,81
11,Jackson,27
11,Kickapoo,0
11,Kirkwood,133
11,Lafayette (Wildwood),49
11,Lee's Summit,34
11,Lee's Summit North,50
11,Lee's Summit West,26
11,Liberty,102
11,Liberty (Wentzville),7
11,Liberty North,131
11,Lindbergh,29
11,MICDS,19
11,Marquette,94
11,Nixa,0
11,North Kansas City,0
11,Oak Park,0
11,Oakville,0
11,Ozark,18
11,Park Hill,16
11,Park Hill South,305
11,Parkway South,143
11,Pattonville,36
11,Pembroke Hill,94
11,Raymore-Peculiar,14
11,Republic,10
11,Rock Bridge,181
11,St. Joseph's Academy,287
11,Staley,125
11,Truman,7
11,Waynesville,0
11,Westminster Christian Academy,95
12,Blue Springs,16
12,Blue Springs South,83
12,Carthage,14
12,Central (St. Joseph),0
12,Cor Jesu Academy,44
12,Eureka,81
12,Francis Howell,11
12,Francis Howell Central,1
12,Francis Howell North,0
12,Ft. Zumwalt North,10
12,Hickman,81
12,Jackson,27
12,Kickapoo,0
12,Kirkwood,139
12,Lafayette (Wildwood),61
12,Lee's Summit,48
12,Lee's Summit North,34
12,Lee's Summit West,28
12,Liberty,108
12,Liberty (Wentzville),3
12,Liberty North,108
12,Lindbergh,26
12,MICDS,25
12,Marquette,89
12,Nixa,0
12,North Kansas City,0
12,Oak Park,0
12,Oakville,0
12,Ozark,23
12,Park Hill,14
12,Park Hill South,314
12,Parkway South,140
12,Pattonville,36
12,Pembroke Hill,101
12,Raymore-Peculiar,17
12,Republic,11
12,Rock Bridge,180
12,St. Joseph's Academy,298
12,Staley,87
12,Truman,2
12,Waynesville,0
12,Westminster Christian Academy,65
13,Blue Springs,10
13,Blue Springs South,40
13,Carthage,16
13,Central (St. Joseph),0
13,Cor Jesu Academy,28
13,Eureka,75
13,Francis Howell,7
13,Francis Howell Central,2
13,Francis Howell North,0
13,Ft. Zumwalt North,15
13,Hickman,74
13,Jackson,31
13,Kickapoo,0
13,Kirkwood,172
13,Lafayette (Wildwood),81
13,Lee's Summit,34
13,Lee's Summit North,50
13,Lee's Summit West,43
13,Liberty,94
13,Liberty (Wentzville),7
13,Liberty North,92
13,Lindbergh,19
13,MICDS,29
13,Marquette,115
13,Nixa,0
13,North Kansas City,0
13,Oak Park,0
13,Oakville,0
13,Ozark,17
13,Park Hill,17
13,Park Hill South,291
13,Parkway South,152
13,Pattonville,29
13,Pembroke Hill,97
13,Raymore-Peculiar,18
13,Republic,5
13,Rock Bridge,206
13,St. Joseph's Academy,265
13,Staley,83
13,Truman,0
13,Waynesville,0
13,Westminster Christian Academy,111
14,Blue Springs,11
14,Blue Springs South,39
14,Carthage,16
14,Central (St. Joseph),0
14,Cor Jesu Academy,32
14,Eureka,72
14,Francis Howell,10
14,Francis Howell Central,4
14,Francis Howell North,0
14,Ft. Zumwalt North,4
14,Hickman,84
14,Jackson,26
14,Kickapoo,0
14,Kirkwood,148
14,Lafayette (Wildwood),79
14,Lee's Summit,25
14,Lee's Summit North,37
14,Lee's Summit West,24
14,Liberty,98
14,Liberty (Wentzville),0
14,Liberty North,108
14,Lindbergh,51
14,MICDS,19
14,Marquette,111
14,Nixa,0
14,North Kansas City,0
14,Oak Park,0
14,Oakville,0
14,Ozark,13
14,Park Hill,16
14,Park Hill South,281
14,Parkway South,151
14,Pattonville,33
14,Pembroke Hill,100
14,Raymore-Peculiar,26
14,Republic,14
14,Rock Bridge,189
14,St. Joseph's Academy,293
14,Staley,84
14,Truman,0
14,Waynesville,0
14,Westminster Christian Academy,127
15,Blue Springs,7
15,Blue Springs South,56
15,Carthage,16
15,Central (St. Joseph),0
15,Cor Jesu Academy,23
15,Eureka,82
15,Francis Howell,2
15,Francis Howell Central,7
15,Francis Howell North,0
15,Ft. Zumwalt North,10
15,Hickman,87
15,Jackson,25
15,Kickapoo,0
15,Kirkwood,161
15,Lafayette (Wildwood),75
15,Lee's Summit,45
15,Lee's Summit North,49
15,Lee's Summit West,34
15,Liberty,114
15,Liberty (Wentzville),12
15,Liberty North,102
15,Lindbergh,23
15,MICDS,30
15,Marquette,94
15,Nixa,0
15,North Kansas City,0
15,Oak Park,0
15,Oakville,0
15,Ozark,27
15,Park Hill,15
15,Park Hill South,280
15,Parkway South,157
15,Pattonville,31
15,Pembroke Hill,89
15,Raymore-Peculiar,13
15,Republic,30
15,Rock Bridge,185
15,St. Joseph's Academy,278
15,Staley,54
15,Truman,1
15,Waynesville,0
15,Westminster Christian Academy,111
16,Blue Springs,15
16,Blue Springs South,64
16,Carthage,13
16,Central (St. Joseph),0
16,Cor Jesu Academy,31
16,Eureka,76
16,Francis Howell,10
16,Francis Howell Central,0
16,Francis Howell North,0
16,Ft. Zumwalt North,16
16,Hickman,81
16,Jackson,32
16,Kickapoo,0
16,Kirkwood,165
16,Lafayette (Wildwood),88
16,Lee's Summit,44
16,Lee's Summit North,40
16,Lee's Summit West,25
16,Liberty,83
16,Liberty (Wentzville),2
16,Liberty North,89
16,Lindbergh,20
16,MICDS,45
16,Marquette,124
16,Nixa,0
16,North Kansas City,0
16,Oak Park,0
16,Oakville,0
16,Ozark,22
16,Park Hill,16
16,Park Hill South,306
16,Parkway South,146
16,Pattonville,32
16,Pembroke Hill,83
16,Raymore-Peculiar,14
16,Republic,5
16,Rock Bridge,195
16,St. Joseph's Academy,281
16,Staley,70
16,Truman,1
16,Waynesville,0
16,Westminster Christian Academy,91
17,Blue Springs,16
17,Blue Springs South,72
17,Carthage,13
17,Central (St. Joseph),0
17,Cor Jesu Academy,28
17,Eureka,75
17,Francis Howell,32
17,Francis Howell Central,2
17,Francis Howell North,0
17,Ft. Zumwalt North,13
17,Hickman,88
17,Jackson,26
17,Kickapoo,0
17,Kirkwood,155
17,Lafayette (Wildwood),64
17,Lee's Summit,32
17,Lee's Summit North,52
17,Lee's Summit West,22
17,Liberty,115
17,Liberty (Wentzville),0
17,Liberty North,104
17,Lindbergh,22
17,MICDS,21
17,Marquette,133
17,Nixa,0
17,North Kansas City,0
17,Oak Park,0
17,Oakville,0
17,Ozark,11
17,Park Hill,14
17,Park Hill South,272
17,Parkway South,158
17,Pattonville,36
17,Pembroke Hill,118
17,Raymore-Peculiar,15
17,Republic,5
17,Rock Bridge,180
17,St. Joseph's Academy,302
17,Staley,52
17,Truman,2
17,Waynesville,0
17,Westminster Christian Academy,75
18,Blue Springs,9
18,Blue Springs South,46
18,Carthage,7
18,Central (St. Joseph),0
18,Cor Jesu Academy,72
18,Eureka,81
18,Francis Howell,7
18,Francis Howell Central,1
18,Francis Howell North,0
18,Ft. Zumwalt North,12
18,Hickman,73
18,Jackson,40
18,Kickapoo,0
18,Kirkwood,167
18,Lafayette (Wildwood),81
18,Lee's Summit,38
18,Lee's Summit North,52
18,Lee's Summit West,32
18,Liberty,116
18,Liberty (Wentzville),0
18,Liberty North,73
18,Lindbergh,18
18,MICDS,16
18,Marquette,94
18,Nixa,0
18,North Kansas City,0
18,Oak Park,0
18,Oakville,0
18,Ozark,15
18,Park Hill,15
18,Park Hill South,290
18,Parkway South,155
18,Pattonville,32
18,Pembroke Hill,120
18,Raymore-Peculiar,14
18,Republic,20
18,Rock Bridge,187
18,St. Joseph's Academy,277
18,Staley,56
18,Truman,1
18,Waynesville,0
18,Westminster Christian Academy,108
19,Blue Springs,10
19,Blue Springs South,23
19,Carthage,14
19,Central (St. Joseph),0
19,Cor Jesu Academy,31
19,Eureka,92
19,Francis Howell,18
19,Francis Howell Central,5
19,Francis Howell North,0
19,Ft. Zumwalt North,9
19,Hickman,66
19,Jackson,32
19,Kickapoo,0
19,Kirkwood,170
19,Lafayette (Wildwood),78
19,Lee's Summit,56
19,Lee's Summit North,44
19,Lee's Summit West,33
19,Liberty,108
19,Liberty (Wentzville),1
19,Liberty North,93
19,Lindbergh,30
19,MICDS,12
19,Marquette,104
19,Nixa,0
19,North Kansas City,0
19,Oak Park,0
19,Oakville,0
19,Ozark,18
19,Park Hill,13
19,Park Hill South,289
19,Parkway South,148
19,Pattonville,30
19,Pembroke Hill,99
19,Raymore-Peculiar,15
19,Republic,7
19,Rock Bridge,191
19,St. Joseph's Academy,290
19,Staley,95
19,Truman,0
19,Waynesville,0
19,Westminster Christian Academy,101
20,Blue Springs,13
20,Blue Springs South,55
20,Carthage,13
20,Central (St. Joseph),0
20,Cor Jesu Academy,49
20,Eureka,100
20,Francis Howell,12
20,Francis Howell Central,1
20,Francis Howell North,0
20,Ft. Zumwalt North,10
20,Hickman,67
20,Jackson,21
20,Kickapoo,0
20,Kirkwood,140
20,Lafayette (Wildwood),72
20,Lee's Summit,29
20,Lee's Summit North,50
20,Lee's Summit West,21
20,Liberty,120
20,Liberty (Wentzville),4
20,Liberty North,94
20,Lindbergh,31
20,MICDS,13
20,Marquette,88
20,Nixa,0
20,North Kansas City,0
20,Oak Park,0
20,Oakville,0
20,Ozark,12
20,Park Hill,16
20,Park Hill South,319
20,Parkway South,158
20,Pattonville,32
20,Pembroke Hill,97
20,Raymore-Peculiar,16
20,Republic,21
20,Rock Bridge,172
20,St. Joseph's Academy,295
20,Staley,76
20,Truman,0
20,Waynesville,0
20,Westminster Christian Academy,108
21,Blue Springs,12
21,Blue Springs South,55
21,Carthage,16
21,Central (St. Joseph),0
21,Cor Jesu Academy,27
21,Eureka,78
21,Francis Howell,13
21,Francis Howell Central,2
21,Francis Howell North,0
21,Ft. Zumwalt North,4
21,Hickman,69
21,Jackson,46
21,Kickapoo,0
21,Kirkwood,151
21,Lafayette (Wildwood),58
21,Lee's Summit,45
21,Lee's Summit North,52
21,Lee's Summit West,28
21,Liberty,89
21,Liberty (Wentzville),0
21,Liberty North,69
21,Lindbergh,20
21,MICDS,17
21,Marquette,118
21,Nixa,0
21,North Kansas City,0
21,Oak Park,0
21,Oakville,0
21,Ozark,18
21,Park Hill,17
21,Park Hill South,301
21,Parkway South,154
21,Pattonville,36
21,Pembroke Hill,102
21,Raymore-Peculiar,20
21,Republic,36
21,Rock Bridge,179
21,St. Joseph's Academy,275
21,Staley,91
21,Truman,2
21,Waynesville,0
21,Westminster Christian Academy,125
22,Blue Springs,13
22,Blue Springs South,56
22,Carthage,15
22,Central (St. Joseph),0
22,Cor Jesu Academy,42
22,Eureka,85
22,Francis Howell,11
22,Francis Howell Central,6
22,Francis Howell North,0
22,Ft. Zumwalt North,0
22,Hickman,79
22,Jackson,49
22,Kickapoo,0
22,Kirkwood,132
22,Lafayette (Wildwood),46
22,Lee's Summit,57
22,Lee's Summit North,60
22,Lee's Summit West,24
22,Liberty,112
22,Liberty (Wentzville),12
22,Liberty North,113
22,Lindbergh,32
22,MICDS,18
22,Marquette,81
22,Nixa,0
22,North Kansas City,0
22,Oak Park,0
22,Oakville,0
22,Ozark,21
22,Park Hill,16
22,Park Hill South,277
22,Parkway South,164
22,Pattonville,32
22,Pembroke Hill,101
22,Raymore-Peculiar,14
22,Republic,13
22,Rock Bridge,201
22,St. Joseph's Academy,291
22,Staley,73
22,Truman,0
22,Waynesville,0
22,Westminster Christian Academy,79
23,Blue Springs,12
23,Blue Springs South,56
23,Carthage,14
23,Central (St. Joseph),0
23,Cor Jesu Academy,34
23,Eureka,89
23,Francis Howell,15
23,Francis Howell Central,0
23,Francis Howell North,0
23,Ft. Zumwalt North,5
23,Hickman,83
23,Jackson,29
23,Kickapoo,0
23,Kirkwood,151
23,Lafayette (Wildwood),38
23,Lee's Summit,28
23,Lee's Summit North,55
23,Lee's Summit West,25
23,Liberty,97
23,Liberty (Wentzville),0
23,Liberty North,100
23,Lindbergh,17
23,MICDS,24
23,Marquette,102
23,Nixa,0
23,North Kansas City,0
23,Oak Park,0
23,Oakville,0
23,Ozark,11
23,Park Hill,15
23,Park Hill South,309
23,Parkway South,179
23,Pattonville,36
23,Pembroke Hill,108
23,Raymore-Peculiar,25
23,Republic,15
23,Rock Bridge,199
23,St. Joseph's Academy,267
23,Staley,85
23,Truman,2
23,Waynesville,0
23,Westminster Christian Academy,100
24,Blue Springs,8
24,Blue Springs South,58
24,Carthage,15
24,Central (St. Joseph),0
24,Cor Jesu Academy,55
24,Eureka,66
24,Francis Howell,17
24,Francis Howell Central,18
24,Francis Howell North,0
24,Ft. Zumwalt North,4
24,Hickman,57
24,Jackson,24
24,Kickapoo,0
24,Kirkwood,153
24,Lafayette (Wildwood),77
24,Lee's Summit,38
24,Lee's Summit North,37
24,Lee's Summit West,29
24,Liberty,120
24,Liberty (Wentzville),0
24,Liberty North,88
24,Lindbergh,24
24,MICDS,16
24,Marquette,115
24,Nixa,0
24,North Kansas City,0
24,Oak Park,0
24,Oakville,0
24,Ozark,15
24,Park Hill,16
24,Park Hill South,284
24,Parkway South,172
24,Pattonville,33
24,Pembroke Hill,90
24,Raymore-Peculiar,14
24,Republic,7
24,Rock Bridge,182
24,St. Joseph's Academy,300
24,Staley,75
24,Truman,2
24,Waynesville,0
24,Westminster Christian Academy,116
25,Blue Springs,12
25,Blue Springs South,36
25,Carthage,13
25,Central (St. Joseph),0
25,Cor Jesu Academy,40
25,Eureka,82
25,Francis Howell,15
25,Francis Howell Central,1
25,Francis Howell North,0
