School,City,Class
Affton,St. Louis,1
Battle,Columbia,2
Belton,Belton,1
Blue Springs,Blue Springs,2
Blue Springs South,Blue Springs,2
Camdenton,Camdenton,1
Capital City,Jefferson City,1
Carthage,Carthage,1
Central (Cape Girardeau),Cape Girardeau,1
Central (Springfield),Springfield,1
Central (St. Joseph),St. Joseph,2
Chaminade College Prep,St Louis,2
Christian Brothers College,St. Louis,1
Clayton,Clayton,1
Columbia Independent,Columbia,1
De Smet Jesuit,St. Louis,1
Eureka,Eureka,1
Farmington,Farmington,1
Francis Howell,St. Charles,2
Francis Howell Central,St. Charles,2
Francis Howell North,St. Charles,1
Ft. Zumwalt East,St. Peters,1
Ft. Zumwalt North,O'fallon,1
Ft. Zumwalt South,St. Peters,1
Ft. Zumwalt West,O'fallon,2
Glendale,Springfield,1
Grain Valley,Grain Valley,1
Greenwood,Springfield,1
Hannibal,Hannibal,1
Hazelwood Central,Florissant,1
Hazelwood West,St. Louis,2
Hickman,Columbia,2
Hillcrest,Springfield,1
Holt,Wentzville,1
Jackson,Jackson,2
Jefferson City,Jefferson City,1
John Burroughs,St. Louis,1
Joplin,Joplin,2
Kearney,Kearney,1
Kickapoo,Springfield,2
Kirkwood,Kirkwood,1
Ladue Horton Watkins,St. Louis,1
Lafayette (Wildwood),Wildwood,1
Lebanon,Lebanon,1
Lee's Summit,Lee's Summit,2
Lee's Summit North,Lee's Summit,2
Lee's Summit West,Lee's Summit,2
Liberty,Liberty,2
Liberty (Wentzville),Lake St. Louis,2
Liberty North,Liberty,2
Lincoln College Prep,Kansas City,1
Lindbergh,St. Louis,2
Logan-Rogersville,Rogersville,1
Lutheran St. Charles,St. Peters,1
Marquette,Chesterfield,2
Marshall,Marshall,1
Marshfield,Marshfield,1
McCluer North,Florissant,1
Mehlville,St. Louis,1
MICDS,St. Louis,2
Missouri Military Academy,Mexico,1
Monett,Monett,1
Nevada,Nevada,1
Nixa,Nixa,2
North Kansas City,North Kansas City,2
North Point,Wentzville,1
Notre Dame (Cape Girardeau),Cape Girardeau,1
Oak Park,Kansas City,2
Oakville,St. Louis,2
Ozark,Ozark,2
Park Hill,Kansas City,2
Park Hill South,Riverside,2
Parkway Central,Chesterfield,1
Parkway North,St Louis,1
Parkway South,Manchester,1
Parkway West,Ballwin,1
Pattonville,Maryland Heights,2
Pembroke Hill,Kansas City,1
Platte County,Platte City,1
Poplar Bluff,Poplar Bluff,1
Raymore-Peculiar,Peculiar,2
Raytown,Raytown,1
Raytown South,Raytown,1
Republic,Republic,1
Ritenour,St. Louis,2
Rock Bridge,Columbia,2
Rockhurst,Kansas City,2
Rockwood Summit,Fenton,1
Savannah,Savannah,1
Seymour,Seymour,1
SLUH,St. Louis,2
Smith-Cotton,Sedalia,1
Smithville,Smithville,1
St. Dominic,O'fallon,1
St. Francis Borgia,Washington,1
St. Michael the Archangel,Lee's Summit,1
St. Pius X (Kansas City),Kansas City,1
Staley,Kansas City,2
STEAM Academy,St. Louis,1
Summit Christian Academy,Lee's Summit,1
Thomas Jefferson Independent Day,Joplin,1
Timberland,Wentzville,1
Truman,Independence,1
Vianney,St. Louis,1
Warrensburg,Warrensburg,1
Washington,Washington,1
Waynesville,Waynesville,1
Webb City,Webb City,1
Webster Groves,Webster Groves,1
West Plains,West Plains,1
Westminster Christian Academy,Chesterfield,1
William Chrisman,Independence,1
Winnetonka,Kansas City,1